10001,06-07-2022,pc001,3,656970
10002,06-07-2022,mm002,2,280000
10003,12-09-2022,mb001,1,143990
10004,03-10-2022,fp001,2,199980
10005,05-10-2022,gc002,3,1394970
10006,13-10-2022,rm001,2,115980
10007,26-11-2022,mm001,4,243960
10008,21-12-2022,pc002,1,228990
10009,13-01-2023,gc002,2,929980
10010,25-01-2023,mm001,3,182970
10011,11-02-2023,pc001,2,437980
10012,14-02-2023,mm002,1,140000
10013,25-02-2023,fp001,3,299970
10014,31-03-2023,rm001,1,57990
10015,07-01-2024,mb002,2,499980
10016,27-02-2024,gc001,1,719990
10017,09-03-2024,mm002,3,420000
10018,18-04-2024,mb001,2,287980
10019,17-05-2024,fp001,1,99990
10020,25-06-2024,gc001,2,1439980
